close,net_change,date
8870.53739318,-73.28,2008-11-10 00:00:00.0
8693.9581686,-176.58,2008-11-11 00:00:00.0
8282.65680831,-411.30,2008-11-12 00:00:00.0
8835.2534074,552.60,2008-11-13 00:00:00.0
8497.3076925,-337.95,2008-11-14 00:00:00.0
8273.57695643,-223.73,2008-11-17 00:00:00.0
8424.74852534,151.17,2008-11-18 00:00:00.0
7997.27865689,-427.47,2008-11-19 00:00:00.0
7552.28626728,-444.99,2008-11-20 00:00:00.0
8046.42136396,494.14,2008-11-21 00:00:00.0
8443.38611603,396.96,2008-11-24 00:00:00.0
8479.46658005,36.08,2008-11-25 00:00:00.0
8726.61377621,247.15,2008-11-26 00:00:00.0
8829.04087717,102.43,2008-11-28 00:00:00.0
8149.08740838,-679.95,2008-12-01 00:00:00.0
8419.09352987,270.01,2008-12-02 00:00:00.0
8591.69036329,172.60,2008-12-03 00:00:00.0
8376.24300086,-215.45,2008-12-04 00:00:00.0
8635.41701836,259.17,2008-12-05 00:00:00.0
8934.17600412,298.76,2008-12-08 00:00:00.0
8691.32979042,-242.85,2008-12-09 00:00:00.0
8761.41987506,70.09,2008-12-10 00:00:00.0
8565.08799026,-196.33,2008-12-11 00:00:00.0
8629.68237507,64.59,2008-12-12 00:00:00.0
8564.53045549,-65.15,2008-12-15 00:00:00.0
8924.14037837,359.61,2008-12-16 00:00:00.0
8824.34165558,-99.80,2008-12-17 00:00:00.0
8604.9915498,-219.35,2008-12-18 00:00:00.0
8579.10600718,-25.89,2008-12-19 00:00:00.0
8519.76837871,-59.34,2008-12-22 00:00:00.0
8419.49176899,-100.28,2008-12-23 00:00:00.0
8468.47518041,48.98,2008-12-24 00:00:00.0
8515.54704407,47.07,2008-12-26 00:00:00.0
8483.92685816,-31.62,2008-12-29 00:00:00.0
8668.39121727,184.46,2008-12-30 00:00:00.0
8776.39366587,108.00,2008-12-31 00:00:00.0
9034.69155731,258.30,2009-01-02 00:00:00.0
8952.89324263,-81.80,2009-01-05 00:00:00.0
9015.09819274,62.21,2009-01-06 00:00:00.0
8769.7032487,-245.39,2009-01-07 00:00:00.0
8742.46369308,-27.24,2009-01-08 00:00:00.0
8599.17725869,-143.29,2009-01-09 00:00:00.0
8473.97088023,-125.21,2009-01-12 00:00:00.0
8448.56322455,-25.41,2009-01-13 00:00:00.0
8200.14166321,-248.42,2009-01-14 00:00:00.0
8212.48707585,12.35,2009-01-15 00:00:00.0
8281.22314748,68.74,2009-01-16 00:00:00.0
7949.0917237,-332.13,2009-01-20 00:00:00.0
8228.09804924,279.01,2009-01-21 00:00:00.0
8122.80362664,-105.29,2009-01-22 00:00:00.0
8077.56366292,-45.24,2009-01-23 00:00:00.0
8116.03356165,38.47,2009-01-26 00:00:00.0
8174.73400753,58.70,2009-01-27 00:00:00.0
8375.44652262,200.71,2009-01-28 00:00:00.0
8149.00776056,-226.44,2009-01-29 00:00:00.0
8000.86280894,-148.15,2009-01-30 00:00:00.0
7936.82595889,-64.04,2009-02-02 00:00:00.0
8078.36014116,141.53,2009-02-03 00:00:00.0
7956.65826693,-121.70,2009-02-04 00:00:00.0
8063.06775906,106.41,2009-02-05 00:00:00.0
8280.5859649,217.52,2009-02-06 00:00:00.0
8270.86893044,-9.72,2009-02-09 00:00:00.0
7888.87796917,-381.99,2009-02-10 00:00:00.0
7939.53398489,50.66,2009-02-11 00:00:00.0
7932.76391989,-6.77,2009-02-12 00:00:00.0
7850.40807045,-82.36,2009-02-13 00:00:00.0
7552.60485857,-297.80,2009-02-17 00:00:00.0
7555.63147586,3.03,2009-02-18 00:00:00.0
7465.94802666,-89.68,2009-02-19 00:00:00.0
7365.67141694,-100.28,2009-02-20 00:00:00.0
7114.78077307,-250.89,2009-02-23 00:00:00.0
7350.9365696,236.16,2009-02-24 00:00:00.0
7270.89050703,-80.05,2009-02-25 00:00:00.0
7182.08318388,-88.81,2009-02-26 00:00:00.0
7062.93004,-119.15,2009-02-27 00:00:00.0
6763.29492819,-299.64,2009-03-02 00:00:00.0
6726.01974681,-37.28,2009-03-03 00:00:00.0
6875.83730272,149.82,2009-03-04 00:00:00.0
